mode,gamma,mAP50,mAP50_95,inference_ms,preprocess_ms,postprocess_ms
CPU,0.3,0.47134156020439255,0.327322468926016,109.37928547656296,0.5437812421877908,0.5632314609376188
CPU,0.6,0.569362500165453,0.41643282397508896,111.62770832812497,0.4183512343751694,0.5770136640621537
CPU,1.0,0.6034271817615687,0.443769494937465,113.18648894531292,0.39800749218787956,0.5961520234376572
CPU,1.4,0.5969537470312323,0.4397646694044863,113.36781999218726,0.39049414062519716,0.6081747968744722
CPU,1.8,0.5803196255255222,0.42923838598382186,114.8652861328121,0.3835517578134606,0.6133460390627121
MPS_GPU,0.3,0.47134156020439255,0.327322468926016,11.093712882813023,1.6868463515620213,11.891828453124642
MPS_GPU,0.6,0.569362500165453,0.41643282397508896,8.781385078125314,0.20471939843735854,12.965717773437468
MPS_GPU,1.0,0.6034271817615687,0.443769494937465,9.082709656250021,0.2728876953130843,13.272241859374034
MPS_GPU,1.4,0.5969537470312323,0.4397646694044863,8.709549148437468,0.22976139843677856,12.144409828125369
MPS_GPU,1.8,0.5803196255255222,0.42923838598382186,8.530357078125661,0.2747731171877099,18.429850914062573
Tier2_NPU,1.0,NaN,NaN,86.0,6.0,1.0
